Loc_Name,Park,Park_Code,State_MMI,Stream_Name,Gradient,Ecoregion,Unit_Code,State_MMI.1,Stream_Gradient,variable,mean,se,N
FRSP_17,Fredericksburg Spotsylvania MP,FRSP,VSCI,Brock Run,High gradient,Piedmont,FRSP,VSCI,High,Bank Stability,17.42857143,0.297380857,7
FRSP_17,Fredericksburg Spotsylvania MP,FRSP,VSCI,Brock Run,High gradient,Piedmont,FRSP,VSCI,High,Riparian Veg Zone,20,0,7
FRSP_17,Fredericksburg Spotsylvania MP,FRSP,VSCI,Brock Run,High gradient,Piedmont,FRSP,VSCI,High,Total Score,163.8571429,4.188581823,7
GETT_01,Gettsyburg,GETT,PRRIBI,Willoughby Run (Upper),High gradient,Northern Piedmont,GETT,PRRIBI,High,Epifaunal Substrate,13,0.975900073,7
GETT_01,Gettsyburg,GETT,PRRIBI,Willoughby Run (Upper),High gradient,Northern Piedmont,GETT,PRRIBI,High,Embeddedness,15.14285714,0.34006802,7
GETT_01,Gettsyburg,GETT,PRRIBI,Willoughby Run (Upper),High gradient,Northern Piedmont,GETT,PRRIBI,High,Velocity Depth Regime,13,1.154700538,7
GETT_01,Gettsyburg,GETT,PRRIBI,Willoughby Run (Upper),High gradient,Northern Piedmont,GETT,PRRIBI,High,Sediment Deposition,16.42857143,0.649437224,7
GETT_01,Gettsyburg,GETT,PRRIBI,Willoughby Run (Upper),High gradient,Northern Piedmont,GETT,PRRIBI,High,Channel Flow Status,15.28571429,0.865042958,7
GETT_01,Gettsyburg,GETT,PRRIBI,Willoughby Run (Upper),High gradient,Northern Piedmont,GETT,PRRIBI,High,Channel Alteration,19,0.690065559,7
GETT_01,Gettsyburg,GETT,PRRIBI,Willoughby Run (Upper),High gradient,Northern Piedmont,GETT,PRRIBI,High,Riffle frequency,14.71428571,0.606091527,7
GETT_01,Gettsyburg,GETT,PRRIBI,Willoughby Run (Upper),High gradient,Northern Piedmont,GETT,PRRIBI,High,Vegetation,17,0.6172134,7
GETT_01,Gettsyburg,GETT,PRRIBI,Willoughby Run (Upper),High gradient,Northern Piedmont,GETT,PRRIBI,High,Bank Stability,17,0.43643578,7
GETT_01,Gettsyburg,GETT,PRRIBI,Willoughby Run (Upper),High gradient,Northern Piedmont,GETT,PRRIBI,High,Riparian Veg Zone,18.57142857,0.428571429,7
GETT_01,Gettsyburg,GETT,PRRIBI,Willoughby Run (Upper),High gradient,Northern Piedmont,GETT,PRRIBI,High,Total Score,159.1428571,3.501214561,7
GETT_02,Gettsyburg,GETT,PRRIBI,Stevens Run,High gradient,Northern Piedmont,GETT,PRRIBI,High,Epifaunal Substrate,9.5,1.5,2
GETT_02,Gettsyburg,GETT,PRRIBI,Stevens Run,High gradient,Northern Piedmont,GETT,PRRIBI,High,Embeddedness,10.5,0.5,2
GETT_02,Gettsyburg,GETT,PRRIBI,Stevens Run,High gradient,Northern Piedmont,GETT,PRRIBI,High,Velocity Depth Regime,8.5,2.5,2
GETT_02,Gettsyburg,GETT,PRRIBI,Stevens Run,High gradient,Northern Piedmont,GETT,PRRIBI,High,Sediment Deposition,9.5,3.5,2
GETT_02,Gettsyburg,GETT,PRRIBI,Stevens Run,High gradient,Northern Piedmont,GETT,PRRIBI,High,Channel Flow Status,12.5,2.5,2
GETT_02,Gettsyburg,GETT,PRRIBI,Stevens Run,High gradient,Northern Piedmont,GETT,PRRIBI,High,Channel Alteration,20,0,2
GETT_02,Gettsyburg,GETT,PRRIBI,Stevens Run,High gradient,Northern Piedmont,GETT,PRRIBI,High,Riffle frequency,13.5,3.5,2
GETT_02,Gettsyburg,GETT,PRRIBI,Stevens Run,High gradient,Northern Piedmont,GETT,PRRIBI,High,Vegetation,15,3,2
GETT_02,Gettsyburg,GETT,PRRIBI,Stevens Run,High gradient,Northern Piedmont,GETT,PRRIBI,High,Bank Stability,12,2,2
GETT_02,Gettsyburg,GETT,PRRIBI,Stevens Run,High gradient,Northern Piedmont,GETT,PRRIBI,High,Riparian Veg Zone,6,2,2
GETT_02,Gettsyburg,GETT,PRRIBI,Stevens Run,High gradient,Northern Piedmont,GETT,PRRIBI,High,Total Score,117,13,2
GETT_04,Eisenhower,EISE,PMHIBI,Willoughby Run (Lower),Low gradient,Northern Piedmont Low gradient,GETT,PMHIBI,Low,Epifaunal Substrate,11.83333333,0.600925213,6
GETT_04,Eisenhower,EISE,PMHIBI,Willoughby Run (Lower),Low gradient,Northern Piedmont Low gradient,GETT,PMHIBI,Low,Pool Substrate,15,0.632455532,6
GETT_04,Eisenhower,EISE,PMHIBI,Willoughby Run (Lower),Low gradient,Northern Piedmont Low gradient,GETT,PMHIBI,Low,Pool Variability,14.5,1.335415042,6
GETT_04,Eisenhower,EISE,PMHIBI,Willoughby Run (Lower),Low gradient,Northern Piedmont Low gradient,GETT,PMHIBI,Low,Sediment Deposition,16,0.632455532,6
GETT_04,Eisenhower,EISE,PMHIBI,Willoughby Run (Lower),Low gradient,Northern Piedmont Low gradient,GETT,PMHIBI,Low,Channel Flow Status,16.83333333,0.872416822,6
